商家名稱,地址,營業電話,營業時間,網址,描述,類別
EventPal 活動咖運動報名平台(聯網國際資訊股份有限公司士林所),111 臺北市士林區中正路600號1樓中華民國健身運動協會中華民國健身運動協會 營業地址:104 臺北市中山區民權東路二段206號6樓之1Curves可爾姿北投店Curves可爾姿北投店 營業地址:112 臺北市北投區磺港路8號4樓、8-1號4樓好好表現運動工作室好好表現運動工作室 營業地址:106 臺北市大安區建國南路一段356號2樓YOUTH Fitness & YogaYOUTH Fitness & Yoga 營業地址:114 臺北市內湖區瑞光路550號1樓角．攀岩館 華山店 CORNER Bouldering Gym Huashan角．攀岩館 華山店 CORNER Bouldering Gym Huashan 營業地址:104 臺北市中山區台北市中山區新生北路一段86號1樓Goal Fitness 走！健身Goal Fitness 走！健身 營業地址:106 臺北市大安區大安路一段85號2樓WellSpace 唯爾運動WellSpace 唯爾運動 營業地址:105 臺北市松山區南京東路四段137號7樓BTB STUDIO X HERBARBTB STUDIO X HERBAR 營業地址:台北市大安區大安路一段83巷7號1樓5+7 十二號空間5+7 十二號空間 營業地址:116 臺北市文山區指南路二段12號2樓瑜珈樹瑜珈樹 營業地址:114 臺北市內湖區內湖路一段604號2樓curves 可爾姿 建國長春店curves 可爾姿 建國長春店 營業地址:104 臺北市中山區建國北路二段74號3FIN GYM 樂康健身俱樂部文山館IN GYM 樂康健身俱樂部文山館 營業地址:116 臺北市文山區景隆街36巷2號2樓彼拉提斯公司 KX Pilates 內湖店彼拉提斯公司 KX Pilates 內湖店 營業地址:114 臺北市內湖區成功路四段6號2樓戀依佳瑜珈工作室戀依佳瑜珈工作室 營業地址:104 臺北市中山區民權西路70號5樓之1Waypoint作伙-WP ZouHuiWaypoint作伙-WP ZouHui 營業地址:106 臺北市大安區和平東路二段46巷11號1樓舞動陽光博愛國小運動中心舞動陽光博愛國小運動中心 營業地址:110 臺北市信義區安康里松仁路９５巷２０號臺北市體育總會武術國術協會臺北市體育總會武術國術協會 營業地址:106 臺北市大安區和平東路三段11號B1樓ISPORTS愛健身俱樂部ISPORTS愛健身俱樂部 營業地址:100 臺北市中正區仁愛路一段38號1樓YogioceanYogiocean 營業地址:104 臺北市中山區松江路315號4樓諧動健康科技股份有限公司大安分公司諧動健康科技股份有限公司大安分公司 營業地址:106 臺北市大安區信義路二段７４號１０樓SWeet*慢走體適能SWeet*慢走體適能 營業地址:111 臺北市士林區中山北路六段284號Curves可爾姿女性30分鐘運動中心 社子延北店Curves可爾姿女性30分鐘運動中心 社子延北店 營業地址:111 臺北市士林區延平北路5段307號2樓體線運動體線運動 營業地址:105 臺北市松山區南京東路4段186號6樓之9BELIEF IT運動工作室BELIEF IT運動工作室 營業地址:116 臺北市文山區和平東路四段389號1樓Air fitnessAir fitness 營業地址:110 臺北市信義區信義路3段3號2樓之1anytime fitness信義安和店anytime fitness信義安和店 營業地址:106 臺北市大安區信義路四段279號B1完美線條完美線條 營業地址:106 臺北市大安區忠孝東路四段170巷6弄5號2F中國青年救國團臺北市中山運動中心中國青年救國團臺北市中山運動中心 營業地址:104 臺北市中山區臺北市 中山區 中山北路２段４４巷２號【綺迪樂】文創親子桌遊【綺迪樂】文創親子桌遊 營業地址:104 臺北市中山區建國北路２段90號5樓,營業電話：02-28160188,營業時間：09:00 ~ 18:00,https://www.google.com.tw/maps/place/111 臺北市士林區中正路600號1樓,活動咖 EventPal - 路跑健身馬拉松、運動報名網、擁有全方位防疫賽事、線上訓練報名與線上跑平台。您手中動滋券的最佳去處，快來使用動滋券參加2022西螺太平媽動滋祈步走，除了獲得太平媽祈福金、招財錢母，專屬太平媽祈福禮袋外，現場還有豐富園遊活動及大獎摸彩，不來可惜，快按上面網址來報名!! 動滋券適用品項：戶外運動類_馬拉松/路跑,動滋券適用品項：戶外運動類_馬拉松/路跑
中華民國健身運動協會,104 臺北市中山區民權東路二段206號6樓之1,營業電話：0225030502,營業時間：10:00~17:00,https://www.google.com.tw/maps/place/104 臺北市中山區民權東路二段206號6樓之1,本會成立於民國91年11月9日至今致力於推廣全民健身運動，以健康、服務、生活為宗旨達成人人運動、時時運動、處處運動的目標。推廣項目以社區健走教室、居家運動影片、職場體能促進與培訓研習認證四大面向，走入社區、居家、職場及學校，拉近運動與生活的距離。推廣內容包括減重、塑身、紓壓與健康等，希望能夠建立民眾正確的運動觀念，培養規律運動的習慣。 動滋券適用品項：,
Curves可爾姿北投店,112 臺北市北投區磺港路8號4樓、8-1號4樓,營業電話：0228936585,營業時間：請見官網上公告之營業時間,https://www.google.com.tw/maps/place/112 臺北市北投區磺港路8號4樓、8-1號4樓,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式， 透過有氧+肌力+伸展三合一的完整訓練， 在女性教練的陪伴之下，輕鬆養成運動習慣， 讓妳更健康、更自信、更快樂 ，是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 02-2893-6585 *請提前主動告知使用""政府優惠券"", 店家保留最終活動抵扣服務、商品之解釋權利。 動滋券適用品項：運動場館-健身",
好好表現運動工作室,106 臺北市大安區建國南路一段356號2樓,營業電話：0961351666,營業時間：09:00-21:00,https://www.google.com.tw/maps/place/106 臺北市大安區建國南路一段356號2樓,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
YOUTH Fitness & Yoga,114 臺北市內湖區瑞光路550號1樓,營業電話：87733833,營業時間：7am-11pm,https://www.google.com.tw/maps/place/114 臺北市內湖區瑞光路550號1樓,位於台北內湖科學園區的時尚尊寵健身瑜珈館， 為連結數位網絡與行動智慧的趨勢健身新指標！ 打造明亮寬敞的環境與五星衛浴空間、 擁有資歷豐富的專業健身教練與老師、 也特別規劃了純粹優質的健康餐飲吧。 少了坊間中小型工作室與俱樂部的狹隘壓迫、 更有效減少市面上連鎖健身中心的擁擠人潮； 提供給內湖科學園區內熱愛運動的上班族們、 以及居住內湖大直一帶的高品味民眾， 一個從裡到外一應俱全的複合式健身瑜珈館！ 動滋券適用品項：,
角．攀岩館 華山店 CORNER Bouldering Gym Huashan,104 臺北市中山區台北市中山區新生北路一段86號1樓,營業電話：0225633749,營業時間：平日：10:00-23:00、假日：09:00-21:00,https://www.google.com.tw/maps/place/104 臺北市中山區台北市中山區新生北路一段86號1樓,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",動滋券適用品項：戶外運動類_攀岩
Goal Fitness 走！健身,106 臺北市大安區大安路一段85號2樓,營業電話：0287720722,營業時間：12:00-21:00,https://www.google.com.tw/maps/place/106 臺北市大安區大安路一段85號2樓,有溫度， 是我們創辦的初衷。 一直以來都希望能帶給每一位來運動的朋友們， 一個歸屬感。 因此，希望到來這的你/妳們，都能感受到人與人之間的溫度，溫暖且真實。 動滋券適用品項：,
WellSpace 唯爾運動,105 臺北市松山區南京東路四段137號7樓,營業電話：0227121118,營業時間：09:30~21:30,https://www.google.com.tw/maps/place/105 臺北市松山區南京東路四段137號7樓,唯爾Wellspace品牌理念是「守護」 致力於讓各個年齡層的運動者 能自在地享受運動的美好和樂趣 🔸專攻：器械/墊上彼拉提斯、泰拳、重量訓練 🔸1對1、1對2教練指導課 🔸3-6小班團體課、團體包班 協助運動成為日常生活中的既定慣例 守護讓學員越活越有力、越動越精彩，我們一切努力「well」你 動滋券適用品項：,
5+7 十二號空間,116 臺北市文山區指南路二段12號2樓,營業電話：0939973937,營業時間：詳見課表,https://www.google.com.tw/maps/place/116 臺北市文山區指南路二段12號2樓,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
瑜珈樹,114 臺北市內湖區內湖路一段604號2樓,營業電話：0226581727,營業時間：10：00-21：00,https://www.google.com.tw/maps/place/114 臺北市內湖區內湖路一段604號2樓,內湖港墘站的瑜珈樹小工作室，有一般瑜珈，空中瑜珈，皮拉提斯，香氛課程，trx，zumba多種課程選擇 動滋券適用品項：,
