商家名稱,地址,營業電話,營業時間,網址,描述,類別
輪上的孩子,111 臺北市士林區重慶北路四段180號,營業電話：0913122633,營業時間：1400-2200,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,專業花式溜冰訓練教學，販售專業「並排花式溜冰」器材與週邊配件，休閒至選手等級的器材皆有，另有練習、比賽冰裝設計製作 動滋券適用品項：,
榮星花園泳池,104 臺北市中山區建國北路3段39號,營業電話：0225079366,營業時間：05:30-22:00 (健身房08:00-22:00),https://rxsp.teamxports.com/,"榮星花園游泳池於111年7月15日重新開幕，以游泳為主要推動運動專項，搭配體適能、有氧團課等熱門休閒運動，規劃一系列的運動課程、里民回饋活動等，融入周邊地區居民的運動生活，提供更新穎、更活力的運動場域。 動滋券適用品項：運動場館-瑜珈,運動場館-綜合運動中心,水域運動_游泳,戶外運動類_鐵人三項","游泳,戶外運動類_鐵人三項"
Curves可爾姿天母店,111 臺北市士林區臺北市 士林區 天玉里天母西路３號３樓之１１,營業電話：0228766108,營業時間：請見官網上公告之營業時間,https://www.curves.com.tw/,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式， 透過有氧+肌力+伸展三合一的完整訓練， 在女性教練的陪伴之下，輕鬆養成運動習慣， 讓妳更健康、更自信、更快樂 ，是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 (02-2876-6108) *請提前主動告知使用""政付優惠券"", 店家保留最終活動抵扣服務、商品之解釋權利。 動滋券適用品項：",
ibon售票系統,110 臺北市信義區東興路61號5樓,營業電話：0287523999,營業時間：0900-1800,https://ticket.ibon.com.tw/,提供運動賽事職棒、職籃、兒童體能體驗等相關門票，於全台統一超商ibon機台或ibon售票系統網路購票 動滋券適用品項：售票平台,
NGU Muay Thai Fitness,106 臺北市大安區臺北市 大安區 仁慈里復興南路１段２４９號２樓,營業電話：0266131213,營業時間：10:30am-10:30pm,https://www.ngumuaythai.com,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
MIXFIT BOXING,100 臺北市中正區漢口街一段47號B1,營業電話：0223110616,營業時間：11:00-22:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,MIXFIT BOXING全方位拳擊體能健身中心最大特點主打「拳擊x體能」雙系統訓練課程，由擁有二十五年資歷，教練的教練－國際級金牌拳擊總教官葉俊昌Ren領軍國家級金牌拳擊教練群、國際級體能訓練師專業打造出的全方位訓練計畫。,
圓空間工作室,104 臺北市中山區雙城街18巷8號地下一樓,營業電話：0225995990,營業時間：08:00-23:00,https://circlestudio.mystrikingly.com/,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
Yoshi遊戲體操,114 臺北市內湖區內湖路一段629巷43號,營業電話：0227996299,營業時間：週一至週五：上午9:30-晚上8:30、週六上午9:30-下午5:30,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,3～12歲體操課程： 3-8人為一班，體操器材（地板、單槓、彈翻床、平衡木等）結合循序漸進的課程設計，提升孩子的身體柔軟、協調性、平衡感及動作控制的能力。 3～12歲體操課程： 體操器材（地板、單槓、彈翻床、平衡木等）結合循序漸進的課程設計，提升孩子的身體柔軟、協調性、平衡感及動作控制的能力。,
榮星花園游泳池,104 臺北市中山區建國北路3段39號,營業電話：025079366,營業時間：05:30-22:00 (健身房08:00-22:00),https://rxsp.teamxports.com/,榮星花園游泳池以游泳為主要推動運動專項，搭配體適能、有氧團課等熱門休閒運動，規劃一系列的運動課程、里民回饋活動等，融入周邊地區居民的運動生活，提供更新穎、更活力的運動場域。 動滋券適用品項：戶外運動類_鐵人三項,動滋券適用品項：戶外運動類_鐵人三項
臺北小巨蛋冰上樂園,105 臺北市松山區南京東路4段2號,營業電話：0225783536,營業時間：1000-2100,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,冰上樂園為遊客打造了一方北國冰雪之境，將滑冰樂趣帶入臺灣，也為這個亞熱帶城市帶來全新的運動體驗和生活方式。一般民眾不論任何季節，都可與家人朋友至此健身休閒、舒緩心靈、並聯絡情誼，同享亞熱帶冰宮中的幸福滋味。 動滋券適用品項：,
i-SPORTS 乒乓課桌球教室,104 臺北市中山區北安路657號1樓,營業電話：25338786,營業時間：平日: 14:00 - 10:00假日: 上午9:00 - 下午7:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,乒乓客i-SPORTS桌球訓練中心擁有國手級教練師資，並提供客製化且專業的團體和個人桌球課程。 鄰近捷運大直站及台北市中山區永安國小，歡迎桌球愛好者蒞臨參觀。 動滋券適用品項：,
