商家名稱,地址,營業電話,營業時間,網址,描述,類別
鐵人工廠,105 臺北市松山區八德路三段8巷25號1樓,營業電話：0225795010,營業時間：9:00-21:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"針對每個人的身體狀況及目標需求，專為您個人量身訂製全方位的健康目標達成計劃，提供專業的運動教練諮詢、營養管理、體態調整、運動放鬆等課程及高規格且多元化的硬體設備，讓您在安全又優質的環境中，輕鬆有效達成您個人的健康運動管理目標！! 動滋券適用品項：運動場館-瑜珈,運動場館-綜合運動中心,運動場館-樂齡/兒童綜合體適能(含親子場館),水域運動_游泳,戶外運動類_馬拉松/路跑,戶外運動類_鐵人三項,戶外運動類_自由車,戶外運動類_極限運動,辦比賽","游泳,戶外運動類_馬拉松/路跑,戶外運動類_鐵人三項,戶外運動類_自由車,戶外運動類_極限運動,辦比賽"
緯來電視網股份有限公司,114 臺北市內湖區瑞光路480號3樓,營業電話：0287972879,營業時間：0700~2200,https://www.videoland.com.tw/,"緯來電視網股份有限公司，通稱緯來電視網、緯來，是臺灣大型衛星電視頻道業者，成立於1982年，目前旗下計有體育台,育樂台,日本台,綜合台,戲劇台,電影台以及精采台共計七個頻道。其中緯來體育台更是國內有線電視最具代表性運動賽事播出頻道,轉播賽事含括CPBL中華職棒大聯盟,NBA美國職籃,MLB美國職棒,F1一級方程式賽車,T1職業籃球,UBA大專籃球聯賽等.另舉凡WBC世界棒球經典賽,Premier12世界12強棒球賽,亞洲運動會等大型國際賽事都可以看到緯來體育台的身影. 動滋券適用品項：運動保健,辦比賽,傳播媒體",
國立臺灣科學教育館,111 臺北市士林區士商路189號,營業電話：0266101234,營業時間：09：00-17：00,https://www.ntsec.gov.tw/,組織使命是指組織在經濟社會發展中應擔任的角色與責任，是組織的基本性質與存在理由，為組織目標與經營策略制定依據，科教館的使命為「營造新奇、有趣、好玩、互動與動態的科學藝術探索基地」。 動滋券適用品項：,
臺北市玉泉公園游泳池,103 臺北市大同區西寧北路28號,營業電話：0225500996,營業時間：05:30-21:30,https://kinglystar.tw,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
愛爾達電視 ELTA TV影視,100 臺北市中正區光復里中華路１段４１號４樓,營業電話：23411100,營業時間：09:00-18:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,不管你是體育迷，還是影劇迷，甚至是愛爾達電視的忠實粉絲，【愛爾達電視/ELTA.TV】絕對是您收看線上影視服務優質首選！高畫質頻道直播、精彩隨選影音，多種選擇一次滿足，國內外熱門運動賽事LIVE，擁有NBA籃球、MLB棒球、中華職棒、BWF羽球、歐冠、歐霸足球、WTT桌球等優質賽事轉播、即時新聞動態、熱播連續劇、優質國際頻道、旅遊節目…多元豐富的頻道內容就在 ELTA 愛爾達！不論在家還是出門在外，用手機、電腦隨你看！ 動滋券適用品項：,
中信兄弟售票網及臺北富邦勇士官方售票網及味全龍官方售票網,106 臺北市大安區信義路四段6號9樓,營業電話：27841091,營業時間：0900-1800,https://tix.brothers.tw/UTK0101_、https://tix.fubonbraves.com/UTK0101_,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
GOLFIT高飛高爾夫,106 臺北市大安區安和路二段217巷3號1樓,營業電話：0916570987,營業時間：09:00~22:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,高爾夫是一種終身運動，高飛學院以包括具職業身分的堅強教練團為基礎，為每一位球友提供全方位的專業課程。 透過教練豐富的教學經驗，依照球友最迫切的需求，量身打造專屬課程！ 動滋券適用品項：,
Petra Training,106 臺北市大安區仁愛路三段26-3號B1,營業電話：0227047597,營業時間：週一至週五,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,Petra Training｜Petra 混合健身訓練 💫HYROX官方健身房 ⛺️健身房教會 Gym Church 🔹混合健身／客製化訓練 ｜Functional Fitness／Customized Training ｜團體課程 Group Classes ｜1-1／企業包班Group Training 動滋券適用品項：,
南野子國際整合行銷有限公司,116 臺北市文山區仙岩路22巷21號4樓之1,營業電話：0912000143,營業時間：早上10點-下午6點,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,南野子致力於以多角度方式推廣台灣體育運動，由林靜妮女士旅外多年後回國創立，過去曾在兩岸三地的運動行銷公司服務，服務的對象有國內外大型體育IP，各種單項體育運動會行銷推廣服務等，公司營業項目有賽事轉播，線上運動社群操作，體育推廣活動舉辦，運動公關宣傳服務等，是一間新營態的體育類型的整合行銷公司。 我們的服務項目有： 1.線上運動社群操作 2.體育運動推廣服務 3.運動公關宣傳服務 4.運動賽事轉播 5.運動觀光服務 6.運動整合行銷服務 動滋券適用品項：,
鋭卡運動有限公司RecovSportsMassage,105 臺北市松山區南京東路4段185號5樓之1,營業電話：0227130383,營業時間：13:00-21:00,https://recov.com.tw/,「RECOV」是 Recovery 的縮寫，意思是「恢復」，我們提供溫度與專業兼具的筋膜與肌肉放鬆服務，帶給您在身體上前所未有的感受，找回全新的自己。,
