store_id,商家名稱,地址,營業電話,營業時間,網址,描述,類別,官方類別_自動,自訂類別,is_active,,,,,,,,,,,,,,id
99,Perfect Club 完美運動教室 農安店,104 臺北市中山區農安街166巷6號,921255928,10:00~22:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,🔥台北最熱門的專業減重減脂教室免費30分鐘增肌減脂諮詢👈 九大指數測量分析，結合肌力團體課程，課程包含一對一輔導，團體課💪 全身燃脂，打造不易復胖體質 動滋券適用品項：,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
100,健身計畫 Project Fit,106 臺北市大安區 住安里復興南路二段２７號地下二層,227033393,武議國際股份有限公司,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,運動保健業,場館/課程,,,,,,,,,,,,,,,
101,大台北桌球會館,105 臺北市松山區南京東路五段46號B1,227695965,09:00~22:00,https://service.shopping123.com.tw,,,其他,其他,,,,,,,,,,,,,,,
102,FunFitness 運動旅程,100 臺北市中正區羅斯福路三段272號7樓、臺北市士林區中山北路5段519號2樓,0266173329、0266173168,11:30-21:30,https://www.funfitness.com.tw/,Fun Fitness運動旅程 公館館 - 鄰近捷運公館站步行3分鐘，坐落公館商圈，悠閒步道鬧中取靜，明亮舒適空間，專業師資，淋浴設施，體適能及瑜珈空間，提供多元運動健身課程：熱瑜珈、空中瑜珈、BARRE、TRX、壺鈴、槓鈴基礎、熱汗輕拳擊 、拳力塑身、肌力新手班…每月百餘堂運動團課，邀請你輕鬆展開健康新生活。,格鬥類_其他格鬥類,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
103,降龍總武運動訓練館,100 臺北市中正區杭州南路一段十號B1,223222699,14:00pm-22:00pm,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
104,天天健體能訓練,104 臺北市中山區福樂街88巷22號10樓,953071887,0800-2200,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,一對一、一對多體能訓練 企業包班、肌力循環、TRX、壺鈴團課 歡迎私訊 捷運行天宮站1號出口步行2分鐘�� 地址：民生東路二段64號 動滋券適用品項：運動場館-健身,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
105,中華民國高級中等學校體育總會,104 臺北市中山區朱崙街20號13樓,227783636,9:00-17:30,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,高中體總為依法設立、非以營利為目的之特定體育團體，以倡導學校校園運動風氣，提昇運動競賽技術水準，推動學校體育運動發展，促進中等學校國際暨兩岸體育交流為宗旨。 動滋券適用品項：,,運動用品或器材租賃業,用品/器材,,,,,,,,,,,,,,,
106,iSKI滑雪俱樂部,114 臺北市內湖區 西康里內湖路１段７０號１樓,226586661,每週一～週五 11:00~22:00,https://www.iski.com.tw/,iSKI滑雪俱樂部，讓滑雪從家門口起步 台灣室內滑雪機訓練領導品牌 結合專業師資、歐洲原裝進口頂尖設備、分齡分級課程規劃 讓國人在無雪的台灣，也能就近學習滑雪運動的技巧 培養專業興趣，為出國滑雪做好準備！ 動滋券適用品項：,,職業或業餘運動業,隊伍/賽事,,,,,,,,,,,,,,,
107,趣健行旅行社(有)公司,104 臺北市中山區松江路131號5樓之1(501B室),225037711,早上9:00-晚上18:00,https://www.titohiking.com.tw/,「登山健行，絕對不是一般的旅行」對安全的嚴謹要求是我們不能妥協的堅持， 由三千至八千米經驗的專業領隊群領軍，並堅持以「小隊伍、高品質」的團型， 陪伴你平安愉快地完成登山健行的夢想。15年來定期出團，累積豐富經驗， 用最嚴謹的安全標準陪伴你走出戶外、享受健康、完成夢想挑戰之路！ 動滋券適用品項：運動旅遊業_旅行社運動遊程,,運動旅遊業,運動旅遊,,,,,,,,,,,,,,,
108,芮亞動態藝術空間,116 臺北市文山區羅斯福路6段142巷20弄2號1樓,917560409,週一至週日 12：00～21：00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,其他,其他,,,,,,,,,,,,,,,
109,臺北市體育總會象棋協會,106 臺北市大安區羅斯福路二段91號4樓之1,223656585,星期一~六 9:00~17:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,我們是臺北市體育總會下的象棋協會，負責推廣象棋運動，舉辦各式象棋活動，歡迎熱愛象棋的同好一起參加。 動滋券適用品項：,,職業或業餘運動業,隊伍/賽事,,,,,,,,,,,,,,,
110,好時光女生運動樂園 西湖樂園,114 臺北市內湖區西湖里內湖路一段319號2樓、321號2樓,226275361,10:00-22:00,https://goodtime.com.tw/,☆運動輕鬆上手，邊動邊笑沒煩惱☆女性專屬，妳最好玩運動新體驗☆空中瑜伽、皮拉提斯、zumba、TRX 任妳選☆ 動滋券適用品項：運動場館-瑜珈,,運動場館或設施營建業,場館/課程,,,,,,,,,,,,,,,
111,Curves 可爾姿女性 30 分鐘環狀運動西門漢中店,108 臺北市萬華區漢中街157號2樓,223612327,"周一到週五11:30-13:00,15:00-20:30週六10:00-13:0",https://www.curves.com.tw/,/妳開始運動的第一選擇/ Curves承諾提供一個充滿愛與支持的環境， 從運動開始，讓所有接觸到Curves的人， 勇於蛻變，綻放價值。 動滋券適用品項：,,運動用品或器材租賃業,用品/器材,,,,,,,,,,,,,,,
112,Yoga Amore愛茉芮瑜伽,100 臺北市中正區羅斯福路三段300號4樓,223652387,8:00-21:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,提供小班制精緻教學、客製化私人課程、企業合作洽談、空間租借，免綁約各種課堂數量方案供您選擇，購買10堂以上方案，還可多人共享，平均最低單堂＄350 可自由選課安排時間，歡迎加入我們！ 動滋券適用品項：,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
113,財團法人臺北醫學大學,110 臺北市信義區吳興街250號,227361661,0800-2200,https://pe.tmu.edu.tw/,"體育課程教學、校代表訓練，教職員工健康促進課程、各類團體運動及泳訓課程，企業體適能檢測 動滋券適用品項：運動場館-瑜珈,運動場館-綜合運動中心,運動場館-樂齡/兒童綜合體適能(含親子場館),球類_羽球,球類_籃/排球,球類_棒/壘球,球類_桌球,球類_足球,球類_網球,水域運動_游泳,水域運動_其他水域運動","運動場館-瑜珈,運動場館-綜合運動中心,運動場館-樂齡/兒童綜合體適能(含親子場館),球類_羽球,球類_籃/排球,球類_棒/壘球,球類_桌球,球類_足球,球類_網球,水域運動_游泳,水域運動_其他水域運動",運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
114,中華民國馬術協會,104 臺北市中山區朱崙街20號808室,287711439,09:00-18:00,http://www.ctea.org.tw/main.htm,推展馬術運動，使人人皆能馬上馳騁。 倡導馬術禮儀，期個個都是紳士淑女。 專研馬術教育，求場場比賽揚眉吐氣。 善用馬術強身，讓男男女女健康美麗。 動滋券適用品項：,,職業或業餘運動業,隊伍/賽事,,,,,,,,,,,,,,,
115,Jessica’s fitness,115 臺北市南港區中南街140-5號1樓,919774104,0800-2200,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,其他,其他,,,,,,,,,,,,,,,
116,bounce8,111 臺北市士林區天母東路8巷80號1樓,228761232,10:00-22:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,『孩童與大人快樂的運動空間』提供兒童瑜珈、舞蹈、獨家迷你球類等課程；為大人開設空瑜、懸吊、動物流、私人教練等豐富課程。歡迎大小朋友一起來Bounce8玩！ 動滋券適用品項：運動場館-瑜珈,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
117,達緹科技股份有限公司,103 臺北市大同區民權西路108號13樓之3,225502696,週一到週五 上午10點-下午6點,https://bao-ming.com/eb/index,,,其他,其他,,,,,,,,,,,,,,,
118,維樂生活世界股份有限公司,100 臺北市中正區 三愛里信義路２段２１３號１１樓,223279866,AM9:00-PM9:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,維樂生活世界 全台首創~ 台灣唯一第一家 都會型 綜合 運動 休閒 生活 會館 維樂會館服務內容包括： 1.百萬運動健身設備13項:( 最適合30歲以上想運動朋友)~提升肌肉量.預防肌少症，保護關節. 心肺機能強化.預防骨質疏鬆 避免肌膜沾黏 必練課程,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
119,RHYTHM EAST DANCE GROUP,106 臺北市大安區忠孝東路四段166號11樓之三,886287714800,周一至周五/11:00-21:30  周六周日12:00-18:00,http://www.danceworld.com.tw,,,其他,其他,,,,,,,,,,,,,,,
120,Nonstop Fitness Club,104 臺北市中山區堤頂大道二段508號1樓,285022784,12:00 ~ 21:00,https://nonstop.tw/v2/,"以歡樂音樂派對的初衷定期更新在拳擊,跳舞,瑜珈等主題課程,一間全年齡向的派對運動教室 動滋券適用品項：",,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
121,跑者肌地,104 臺北市 中山區 圓山里新生北路3段84巷47號,930792287,06:00-22:00,https://runnersportstw.com/,"我們提供專注跑及歡樂跑的跑者們全面的服務，跑步需要支撐起全身體重，才會有跑者""肌""地。 跑者肌地，是希望以跑者為本位提供訓練課程。 我們希望透過課程使跑者們有效率的收放肌肉，我們學習在跑步動作中將每一步都達到良好動作品質。 動滋券適用品項：戶外運動類_馬拉松/路跑",戶外運動類_馬拉松/路跑,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
122,享練,106 臺北市大安區和平東路一段91號地下,23325815,8:30-23:00,https://www.instagram.com/enjoy__fit/,"""Enjoy Fit 享練""是一間期許讓大家都享受訓練的健身房，器材皆採用Life Fitness/Torque Fitness等國際知名品牌。我們提供私人教練課程、自主訓練、自由教練場地租借等服務，歡迎大家一起來""享練""一下！ ""Enjoy Fit"" is a gym that hopes everyone can enjoy training. The equipment is all internationally renowned brands such as Life Fitness/Torque Fitness. We provide services such as personal coaching courses, independent training, coaching venue rentals, etc. Welcome everyone to ""enjoy training"" together! 動滋券適用品項：格鬥類_其他格鬥類",格鬥類_其他格鬥類,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
123,元氣小熊科熊體操團隊,110 臺北市信義區明水路397巷7弄55號Ｂ1,225333227,週二～週日,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,其他,其他,,,,,,,,,,,,,,,
124,列特博運動健身機構 LabTurbo Sports,112 臺北市北投區大業路700號,228912729,12:00-22:00,https://17fit.com/labturbo-sports/reserve,"棒球課程、各式團課(瑜珈、TRX、禪柔)、運動按摩 動滋券適用品項：運動場館-瑜珈,運動場館-樂齡/兒童綜合體適能(含親子場館)",,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
125,北投運動中心,112 臺北市北投區 吉利里石牌路一段３９巷１００號,886228202880,6:00-22:00,http://www.btsport.org.tw/zh-TW/index/,"北投運動中心是繼中山區後第二座運動中心，是臺北市第二座同時也是最具有特色的市民運動中心。 本中心樓高31公尺，為地下三層、地上六層的鋼筋混凝土與鋼骨構造的建築物，總樓地板面積約有5432坪，並設有九十五個停車位；除了地下一樓有一座長50公尺、寬15公尺的標準室內溫水游泳池外，二樓還有一座高11公尺的室內木質地板籃球場，同時也可兼劃設八座羽球場的大型球館，五樓更規劃出兩座圓弧鋼構屋頂高11公尺，比照戶外網球場空間的PU地坪室內網球場。 此外，最精緻也最具特色的運動場館，可就要推薦臺北市首座特殊設計的室內人造攀岩場，圓形攀岩場高9公尺，中央有座塔狀模擬天然岩場的人造攀岩場，有懸岩陡壁，也有垂牆與斜板，適合初學與高級的攀岩運動，而三樓的兩座符合國際標準的壁球場及體適能運動中心，也是現代時髦運動的新寵兒。 動滋券適用品項：運動場館-瑜珈,運動場館-綜合運動中心,球類_羽球,球類_籃/排球,球類_桌球,球類_網球,球類_撞球,水域運動_游泳","運動場館-瑜珈,運動場館-綜合運動中心,球類_羽球,球類_籃/排球,球類_桌球,球類_網球,球類_撞球,水域運動_游泳",運動場館或設施營建業,場館/課程,,,,,,,,,,,,,,,
126,轉角香氛,110 臺北市信義區110 臺北市信義區信義路五段150巷401弄20號,227580113,週一~週六 9:30~22:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,美國AFAA體適能/Les Mills/Zumba 證照教練執業，提供瑜珈、彼拉提斯、有氧、空中瑜珈及高強度間歇運動。 動滋券適用品項：,,運動用品或器材租賃業,用品/器材,,,,,,,,,,,,,,,
127,Yoga journey 瑜珈旅程,106 臺北市大安區復興南路1段222號3樓.4樓、臺北市松山區敦化南路一段90號,0266388889、0227118996,8:30-22:30,http://yogajourney.com.tw/,忠孝復興、忠孝敦化精品瑜珈會館，峇里島風戶外光合瑜珈；頂級空中瑜珈教室；與紐約時尚同步，高溫溼熱瑜珈設備。 30多位中外資深瑜珈教師專業授課，毎週百堂私人及團體課 程多元選擇，提供各種程度學員量身訂做。 動滋券適用品項：,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
128,閃電肌力體能訓練,106 臺北市大安區復興南路二段65號2樓之2,909906123,預約制，請致電我們或聯絡我們官方Line @188mnaer,https://www.xcelathletix.com/,功能性至上的健身訓練工作室 為處於台北市大安區的健身房 Xcel Athletix推崇功能性與科學化訓練， 讓學員在完成訓練後，回到生活、工作或賽場， 表現與品質都能有所改善，學會認識及運用自己的身體。 我們希望擺脫笨重的器械式訓練， 這裡為學員帶來專屬訓練場地及新穎科學化器材， 慣性飛輪訓練機、速度依循訓練工具、多功能草皮、各式恢復設備等， 讓您在訓練時，能以指標性的目標為本，帶來最有效益的成果。 動滋券適用品項：球類_其他球類,球類_其他球類,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
129,社團法人中華民國超級馬拉松運動協會,108 臺北市萬華區長沙街二段91號2樓之七,223832646,週一~週五09:00~18:00,http://www.ctau.org.tw/,"本會於中華民國100年八月成立，主管機關是「內政部」，目地事業主管機關為「教育部體育署」，地方目的事業指導機關為「臺北市政府體育局」。原名中華民國超馬跑者協會，英文名稱為”Chinese Taipei Association of Ultrarunners""，2017年7月改名為「中華民國超級馬拉松運動協會」，簡稱「超馬協會」英文名稱不變，簡稱CTAU。 本會願景(Vision)為""讓臺灣超馬與世界接軌""，協會使命(Mission)有四: (1)推展超馬運動(2)結合運動與公益慈善(3)落實綠色賽事概念(4)以NGO身分發展國民外交。 超馬協會於2012年4月成為國際超級馬拉松總會會員，管轄臺灣超級馬拉松運動相關事宜。與國際超級馬拉總會銜接，採最新國際總會標準與規則舉辦活動，擔任臺灣和超級馬拉松總會之間的窗口，並且實際負責臺灣地區超馬相關資訊傳播與各方聯繫事宜。 2020年12月依教育部體育署建議，向法院申請登記，取得社團法人法律地位，全名為「社團法人中華民國超級馬拉松運動協會」。 動滋券適用品項：",,職業或業餘運動業,隊伍/賽事,,,,,,,,,,,,,,,
130,18Light民權西,104 臺北市中山區撫順街35-2號,287724290,10:00-21:30,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,其他,其他,,,,,,,,,,,,,,,
131,瑜珈海洋,104 臺北市中山區松江路315號4樓,225169991,0900~2100,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,其他,其他,,,,,,,,,,,,,,,
132,桑富士運動俱樂部,103 臺北市大同區 星明里平陽街２９號,02-25527579,星期一至五08：30 – 22：30；星期六、日08：30 – 20：00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,SUNFISH位於台北市太原路上~可愛的小魚是我們的標誌~ 我們有游泳池、健身房、有氧課程、飛輪課程、(蒸氣室、烤箱、熱水池僅限女更)、兒童及成人游泳教學 泳池為溫水游泳池 動滋券適用品項：,,職業或業餘運動業,隊伍/賽事,,,,,,,,,,,,,,,
133,行動巡迴式未有門店名稱,103 臺北市大同區南京西路410號10樓之一,918862693,根據客戶需求,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"本公司主要營業項目為科技藝術互動與體驗設計策展，自2022年起投入運動科技領域，致力將互動媒體藝術融入運動之中。我們以桌球為媒材、開發互動投影桌球桌，讓使用者在趣味中獲得更多學習動力與娛樂，至今已於桌球館及新北市多所國小舉辦多場體驗活動。為降低使用門檻、讓更多人能參與，我們採取行動式巡迴推廣，尚未設立固定店面營業。 符合之營業項目為實境體感應用服務業(應用於桌球運動),體驗時間5分鐘,收費100元 動滋券適用品項：",,運動傳播媒體或資訊出版業,平台/媒體/經營,,,,,,,,,,,,,,,
134,好時光女生運動樂園 民權樂園,104 臺北市中山區中山北路三段1號2樓,225854512,10:00-22:00,https://goodtime.com.tw/,☆運動輕鬆上手，邊動邊笑沒煩惱☆女性專屬，妳最好玩運動新體驗☆空中瑜伽、皮拉提斯、zumba、TRX 任妳選☆ 動滋券適用品項：運動場館-瑜珈,,運動場館或設施營建業,場館/課程,,,,,,,,,,,,,,,
135,WEEEFITNESS,104 臺北市中山區市民大道三段143號2f,287726429,10:00-23:59,https://instagram.com/weeefitness,"給你最舒服的運動空間,三面採光,動靜皆宜,戶外大露臺 重量訓練,泰拳,空中瑜珈,瑜珈 讓你在訓練上快樂又有溫度! 動滋券適用品項：",,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
136,UFC GYM TAIWAN,114 臺北市內湖區港墘里洲子街５５、５７號,227996666,07~24,https://www.ufcgym.com.tw/,UFC 冠軍是世界上最訓練有素的運動員，要在 Octagon® 八角擂台比賽中贏得冠軍，每一天的訓練都不能鬆懈，且必須掌握多種兼具高力量高耐力的武術派別！雖然他們所長的技能各有不同，但只要擁有堅定的決心，在每一次挫折中檢討並重新站起，不論是能力或是意志都從未減弱！ TRAIN DIFFERENT® 正是從這種強烈求勝的心態中萌生：UFC GYM 透過了解每一位 UFC Fighter，深入分析他們的訓練內容、營養攝取、專項技術顧問及教練，綜合多面相的專業知識提供給每一位運動員最佳的菁英培訓方案！ 動滋券適用品項：,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
137,公務人力發展學院福華文教會館-休閒中心,106 臺北市大安區新生南路三段30號,277122329,0600-2130,https://www.howard-hotels.com.tw/zh_TW/HotelBusiness/96,,"球類_桌球,球類_撞球",其他,其他,,,,,,,,,,,,,,,
138,勁能健身俱樂部,105 臺北市松山區八德路4段465號2樓,237621518,9:00~23:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,職業或業餘運動業,隊伍/賽事,FALSE,,,,,,,,,,,,,,
139,暗潮技術潛水基地,114 臺北市內湖區金湖路181號,227908507,11:00-21:00,https://www.darktide.com.tw/,,,其他,其他,,,,,,,,,,,,,,,
140,運動家撞球館,112 臺北市北投區尊賢街２２６號地下一樓,228276872,10:00-00:00,https://www.facebook.com/profile.php?id=100063785062624#,,,其他,其他,,,,,,,,,,,,,,,
141,水。瑜珈教室,104 臺北市中山區雙城街38-1號2樓,976232497,2-8pm,https://wateryogatw.myshopify.com/,Namaste 🙏🏻我們在台北市中山區及東區均有瑜珈教室，開辦瑜珈課程外，同時有提供運動服飾、瑜珈墊和輔具等周邊用品販售。期待在墊子上遇見您💛❤️🧡💚💜🖤🤎🤍 動滋券適用品項：,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
142,運動學FITOLOGY,116 臺北市文山區興隆路二段252號B1,229315887,07:00-00:00,https://www.facebook.com/fitologytw/,台北市優質無負擔的健身房/體適能中心 無入會費，無手續費，單次/月費，無負擔 為您提供一系列經濟實惠的選擇，享受我們乾淨、齊全的設施 專業、有成效的科學訓練 舒適自在的健身場館 歡迎加入我們立即運動 動滋券適用品項：運動場館-健身,,運動休閒教育服務業,場館/課程,FALSE,,,,,,,,,,,,,,
143,LOXE 洛禮詩,103 臺北市大同區承德路一段1號3樓15櫃位,937261555,1100-1930,http://loxe520.weebly.com,LOXE擁有最專業的教練團隊，從您想要參加運動的那一秒起開始提供最專業且完善的的服務。 藉由運動功能評估系統，讓您更了解自己的運動表現；多媒體互動教學系統讓學員享有24小時專業教學感受； ​現場也販售專業的運動配件，讓運動無時無刻伴隨在側。 ​ LOXE​『X』代表無限的愛，透過愛與初衷，讓我們對於健康健身的專業散佈出去。 動滋券適用品項：,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
144,Focus Training 專注訓練運動空間,105 臺北市松山區 新聚里南京東路５段２０８號２樓,227666671,11:00-22:00,https://www.facebook.com/FocusTraining.tw/,- FOCUS TRAINING 專注訓練 - Focus ( 專注 ) 代表著： Follow One Course Until Success ( 依循一個方向直到成功 ) 現代社會誘惑多，往往讓人無法專心做好每一件事，想鍛鍊自己的身體，卻又一直放不下手邊的3C產品。 要培養『 專注力 』，需要設定一個你渴望達成的目標，學會如何安排自己的時間，通過“自律”培養出良好的習慣。 不受任何外界的干擾，專注於辛勞汗水打造出的成果～『 Focus Training 我相信是你最好的選擇 』 動滋券適用品項：,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
145,財團法人自行車新文化基金會,110 臺北市信義區基隆路二段51號17樓之1,289785099,08:30-17:30,https://www.cycling-lifestyle.org.tw/,1、新北市河濱自行車租借服務 2、校園自行車安全教育宣講 3、受理申辦自行車環台或挑單認證證書 動滋券適用品項：其他_其他,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
146,TMMA 台北格鬥運動館 古亭館,106 臺北市大安區金山南路二段222號B1,02-3322-2822,週一~週五 10:00~22:00、週六~週日 10:00~19:00,https://www.tmma.com.tw/,TMMA致力將格鬥運動帶入生活，授課風格特別採用活潑生動的方式，讓學員們能夠循序漸進的增強自信及實力。最終達到健身、塑身、防身的效果。藉此開創大眾對於格鬥運動全新的感受與經驗。 動滋券適用品項：格鬥類_柔道/空手道/跆拳道/拳擊/國術/武術,格鬥類_柔道/空手道/跆拳道/拳擊/國術/武術,運動用品或器材租賃業,用品/器材,,,,,,,,,,,,,,,
147,運動皮質區體適能訓練所,106 臺北市大安區和平東路一段274之1號4樓,921285612,週一至週六上午9:00-晚間10:00,http://www.himotorcortex.com,我們是來自各大醫學院的長期照護與運動醫學之專業團隊，由具有運動醫學背景的體適能教練帶您訓練，讓專業為您的健康撐腰！ 1.採取一對一及一對二私人教練課 2.採取客製化的上課模式 根據個別需求來決定訓練菜單 3.用運動醫學建立正確觀念 讓您輕鬆打破各種運動迷思 4.超彈性預約制 想上就預約 線上預約30秒即完成 5.由體適能專家提供最安全、最有效的訓練 動滋券適用品項：,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
148,閃動格子 公館體驗店,100 臺北市中正區羅斯福路三段316巷14號,266057090,每天 10:00-23:00,https://www.cybercube.com.tw/,"《閃動格子》的故事充滿了激情和創新的精神。我們的根基來自於《光穹遊戲》，光穹在2018年以 ""Spotlight Yourself"" 為核心理念， 致力於為玩家提供高品質的遊戲體驗。光穹遊戲的創立初衷是讓每一位玩家能夠親手創造獨特的回憶，透過精緻的劇情和充滿情感的遊戲內容，讓玩家彷彿身臨其境，深度沉浸於遊戲的世界中。 隨著時間的推移，光穹遊戲逐漸積累了豐富的遊戲設計經驗，並且對玩家需求有了更深入的了解。在這樣的基礎上，2023年底，光穹遊戲踏上了一段全新的冒險旅程。 我們融合了創辦人們的專業優勢以及多年來所積累的豐富知識，成立了全新的子公司 ——《閃動格子》。 《閃動格子》是台灣首家融合感應式LED地磚和體感遊戲的創新公司。我們的遊戲系統以賽博龐克風格為主題，通過感應地磚為玩家提供前所未有的多人挑戰體驗。 這款遊戲獨具匠心，玩家在不同顏色的感應磚上跳躍和奔跑，挑戰各種關卡。遊戲不僅考驗玩家的反應速度，還融合了運動和視覺享受，帶來一種全新的刺激和娛樂體驗。 《閃動格子》的誕生，既是光穹遊戲理念的延續，也是一個全新的創新篇章。我們希望透過這款獨特的體感互動遊戲， 為玩家們帶來更多激動人心的冒險與挑戰，並繼續陪伴每一位玩家，共同探索和創造屬於自己的難忘故事。 動滋券適用品項：其他_其他",,運動用品或器材租賃業,用品/器材,,,,,,,,,,,,,,,
149,哥倫布戶外生活館,104 臺北市中山區堤頂大道二段296號,285020138,12:00-21:00,https://www.columbuscycling.com.tw/,本店為捷安特績優經銷商，於天母地區在地經營三十年的資深經驗，始終秉持永續經營的理念服務廣大車友。提供最專業的維修調校、諮詢服務及完整的各大品牌周邊商品 動滋券適用品項：,,運動用品或器材租賃業,用品/器材,,,,,,,,,,,,,,,
150,STAY樂待親子共融空間,105 臺北市松山區 自強里健康路３０５號１樓,227683038,平日10-18點 假日10-20點,https://www.stay2018.tw/,,,其他,其他,,,,,,,,,,,,,,,
151,鷹萬游泳學苑,108 臺北市萬華區西藏路201號,23390988,週一，三四五六日,https://www.owin1.com.tw/TYPE_COM/contact-01.php?BraID=4,"本公司鷹萬=永遠(台語)英文名稱為owin1(贏得第一) 鷹萬游泳學校集團的經營與教學團隊,經驗豐富,是台灣最堅強、經驗最豐富的游泳教學團隊,融合有效的游泳分級教學系統·讓您學游泳也能很安心,很快樂・ 動滋券適用品項：水域運動_游泳",,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
152,哈哈活力站,111 臺北市士林區仁勇里文林路１０２號地下２樓之１至地下２樓之４６,228810101,24H,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,哈哈活力站電競館專業電競賽事場地首選！ 屬於新世代網咖的指標，不僅舉辦過數場大型電競比賽，更是許多知名硬體廠商及遊戲公司指定的專業比賽場地，除了提供一般消費者休閒上網娛樂，也提供許多電競產業相關單位來舉辦電競比賽 動滋券適用品項：,,電子競技業,電競,,,,,,,,,,,,,,,
153,國榮桌球館,100 臺北市中正區100 臺北市中正區和平西路一段34號2樓,23688818,週二~週五1430-2100 週六0900-2100 週日0900-1730,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,其他,其他,,,,,,,,,,,,,,,
154,獅子王桌球內湖館,114 臺北市內湖區康寧路三段54-9號地下樓,226342488,平日13:00-21:00 假日09:00-21:00,http://www.lionking-tt.com/auto_page.aspx?id=qqqsxl56wqtpx,絕美時尚的桌球環境，挑高舒適的教學區、溫馨整潔的休息區，顛覆您想像的時尚環境，一切用心只希望將最美好的呈現給眾人，分享我們對桌球的熱情。 動滋券適用品項：球類_桌球,球類_桌球,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
155,Curves中山錦州店,104 臺北市中山區中山北路二段115巷45號1樓,225232488,11:45~13:30 15:20~21:00 (六)10:30~13:30,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式， 透過有氧+肌力+伸展三合一的完整訓練， 在女性教練的陪伴之下，輕鬆養成運動習慣， 讓妳更健康、更自信、更快樂 ，是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 (分店電話) *請提前主動告知使用""政付優惠券"", 店家保留最終活動抵扣服務、商品之解釋權利。 動滋券適用品項：",,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
156,景美游泳池,116 臺北市文山區羅斯福路五段176巷50號,229353602,0600~2200,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"景美游泳池，於民國72年5月13日興建完成，基地面積約1,350平方公尺。107年整修後重新對外開放，於112年10月20日起受託中國青年救國團經營。 動滋券適用品項：",,運動場館或設施營建業,場館/課程,,,,,,,,,,,,,,,
157,艾莎雷德體能顧問工作室,105 臺北市松山區南京東路5段62號2樓,921226468,09:00-22:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,艾莎雷德體能顧問工作室， 是由Rad以及Asha夫妻共同經營的運動空間， 在這裡，沒有大型俱樂部的諸多條例規範， 我們不綁會籍、不需要各種手續費用， 回歸最單純的課程模式。 動滋券適用品項：運動場館-樂齡/兒童綜合體適能(含親子場館),,職業或業餘運動業,隊伍/賽事,,,,,,,,,,,,,,,
